id_anssi,titre_anssi,type_bulletin,date_publication,cve,cvss_score,base_severity,cwe,cwe_desc,epss_score,lien_anssi,description,editeur,produit,versions_affectees
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9114,,,CWE-416,Use after free,0.00365,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in QUIC in Google Chrome on prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code inside a sandbox via malicious network traffic. (Chromium security severity: High),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9115,,,Non disponible,Insufficient policy enforcement,0.00224,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient policy enforcement in Service Worker in Google Chrome on prior to 148.0.7778.179 allowed a remote attacker to bypass same origin policy via a crafted HTML page. (Chromium security severity: High),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9116,,,Non disponible,Insufficient policy enforcement,0.00218,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient policy enforcement in ServiceWorker in Google Chrome on prior to 148.0.7778.179 allowed a remote attacker to leak cross-origin data via a crafted HTML page. (Chromium security severity: High),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9117,,,CWE-843,Type Confusion,0.00265,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Type Confusion in GFX in Google Chrome on Linux, ChromeOS prior to 148.0.7778.179 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted video file. (Chromium security severity: High)",Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9118,,,CWE-416,Use after free,0.00396,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in XR in Google Chrome on Windows prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code via a crafted HTML page. (Chromium security severity: High),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9120,,,CWE-416,Use after free,0.00501,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in WebRTC in Google Chrome prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code via a crafted HTML page. (Chromium security severity: High),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9121,,,CWE-125,Out of bounds read,0.0033,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Out of bounds read in GPU in Google Chrome on prior to 148.0.7778.179 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9123,,,CWE-122,Heap buffer overflow,0.00173,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Heap buffer overflow in Chromecast in Google Chrome on Android, Linux, ChromeOS prior to 148.0.7778.179 allowed a local attacker to execute arbitrary code inside a sandbox via malicious network traffic. (Chromium security severity: Medium)",Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9124,,,CWE-20,Insufficient validation of untrusted input,0.00257,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Insufficient validation of untrusted input in Input in Google Chrome on prior to 148.0.7778.179 allowed a remote attacker who had compromised the renderer process to leak cross-origin data via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.179
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",CVE-2026-9126,,,CWE-416,Use after free,0.00396,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Use after free in DOM in Google Chrome on prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,148.0.7778.179
